TEAM,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,"AST
RATIO",OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PIE
Phoenix Suns,7,7,0,336.0,121.0,107.9,13.0,61.1,2.43,19.5,26.6,78.5,53.4,11.2,56.3,60.5,100.71,56.5
Toronto Raptors,8,7,1,384.0,106.9,102.7,4.2,63.8,1.34,17.3,22.8,76.9,51.0,17.2,53.8,58.1,103.69,52.5
Indiana Pacers,8,6,2,384.0,107.6,105.7,1.8,60.3,1.77,18.3,21.8,68.9,46.4,13.9,53.6,56.6,102.38,52.3
Boston Celtics,7,5,2,341.0,118.2,108.0,10.2,59.3,1.68,18.1,28.0,71.6,51.0,14.9,56.3,60.1,100.36,54.2
Brooklyn Nets,7,5,2,336.0,116.6,114.9,1.7,62.7,2.09,19.2,25.0,72.5,48.6,12.8,55.6,58.7,103.14,50.8
LA Clippers,7,5,2,341.0,118.3,111.3,7.1,55.7,1.99,17.3,23.6,76.6,51.2,11.7,56.6,60.5,100.01,54.0
Portland Trail Blazers,7,5,2,336.0,122.3,120.7,1.6,53.2,2.32,16.9,29.9,74.3,51.0,10.0,55.3,59.3,101.14,50.7
Oklahoma City Thunder,8,4,4,394.0,103.9,105.4,-1.6,53.8,1.30,14.8,25.6,73.2,49.1,15.1,49.8,54.1,101.06,47.2
Philadelphia 76ers,8,4,4,384.0,118.6,114.8,3.8,57.9,1.77,17.8,30.6,74.7,52.5,14.1,56.1,59.7,101.31,51.0
San Antonio Spurs,7,4,3,336.0,113.8,111.2,2.7,58.1,1.62,17.2,28.5,75.9,52.8,14.5,54.2,59.0,105.21,52.3
Dallas Mavericks,7,3,4,346.0,116.1,119.3,-3.2,62.4,2.36,18.1,25.6,74.9,49.6,10.6,51.8,57.0,99.75,48.6
Denver Nuggets,8,3,5,399.0,116.9,121.7,-4.8,65.1,1.98,19.9,29.2,70.6,49.8,14.2,55.9,59.5,97.50,49.6
Houston Rockets,7,3,4,336.0,102.4,106.5,-4.1,61.9,1.43,16.2,15.1,71.5,42.7,14.5,51.4,56.2,107.29,45.6
Miami Heat,8,3,5,384.0,110.0,110.1,-0.1,66.8,1.69,18.5,23.7,73.1,48.2,14.9,53.3,58.1,100.69,51.4
Sacramento Kings,7,3,4,341.0,113.4,115.6,-2.2,61.8,1.88,19.1,27.0,73.7,50.0,14.0,55.8,58.6,103.25,49.2
Los Angeles Lakers,7,2,5,336.0,105.2,112.9,-7.7,56.3,1.38,15.8,28.0,75.4,49.9,15.5,50.0,53.9,101.79,44.8
Memphis Grizzlies,7,2,5,336.0,105.4,105.6,-0.3,64.2,1.69,18.4,23.9,75.5,49.9,14.9,51.4,55.0,103.93,50.8
Milwaukee Bucks,7,2,5,341.0,109.2,110.7,-1.5,61.5,1.52,17.4,24.5,77.4,52.3,15.5,54.6,58.1,106.84,50.6
New Orleans Pelicans,7,2,5,336.0,110.9,115.2,-4.3,61.5,1.49,18.3,26.7,72.1,49.9,16.9,55.4,58.6,103.57,48.7
Orlando Magic,7,2,5,341.0,110.0,113.0,-2.9,57.1,1.52,16.3,26.1,75.4,50.5,14.4,52.3,56.9,100.93,46.4
Utah Jazz,7,2,5,346.0,110.2,114.5,-4.3,63.9,1.56,17.9,28.2,76.2,50.8,15.8,53.1,57.1,100.58,46.6
Washington Wizards,7,1,6,336.0,102.4,111.4,-9.0,60.9,1.59,16.5,28.1,74.0,49.9,14.4,47.5,51.7,101.43,44.4
